,country,year,respiratory_infections_and_tuberculosis_number,respiratory_infections_and_tuberculosis_percent,respiratory_infections_and_tuberculosis_rate,chronic_respiratory_diseases_number,chronic_respiratory_diseases_percent,chronic_respiratory_diseases_rate,all_greenhouse_gas,CO2,CH4,N2O,Fgas,mean_annual_temp,total_respiratory_diseases,total_diseases_percent
99,Spain,1993,9651,0.029,24.70549,24061,0.07231,61.5917,233.85,175.41,34.46,19.87,4.1,12.875,33712,0.10131
100,Finland,1993,2976,0.05987000000000001,58.58503,1286,0.025889999999999996,25.330779999999997,36.31,22.34,8.15,5.81,0.02,1.65,4262,0.08576
101,Poland,1993,8289,0.02175,21.60683,12899,0.03385,33.622659999999996,413.64,330.86,58.75,23.78,0.25,7.866667,21188,0.0556
102,Greece,1993,2333,0.0245,21.915210000000002,2610,0.027410000000000004,24.517789999999998,97.0,77.17,10.79,6.9,2.15,13.441667,4943,0.051910000000000005
103,United Kingdom,1993,45709,0.07173,78.90283000000001,38481,0.06039,66.42567,722.61,529.56,129.28,45.2,18.56,8.308333,84190,0.13212000000000002
104,Israel,1993,717,0.02206,13.329379999999999,1427,0.04385,26.49922,51.88,40.48,9.18,1.69,0.53,19.741667,2144,0.06591
105,Slovakia,1993,2697,0.05169,50.54156,956,0.01832,17.9156,44.27,34.89,6.74,2.46,0.18,7.558333,3653,0.07001
106,Chile,1993,7157,0.09619,51.53074,2817,0.03787,20.28588,33.32,14.94,12.93,5.3,0.15,8.633333,9974,0.13406
107,Ireland,1993,2026,0.06535,55.91092,2394,0.07722000000000001,66.06752,55.54,29.26,15.93,10.26,0.09,9.25,4420,0.14257000000000003
108,Luxembourg,1993,96,0.025330000000000002,24.50479,187,0.04927,47.67588,11.93,11.03,0.6,0.28,0.02,9.241667,283,0.0746
109,Norway,1993,3108,0.06849,72.16684000000001,1697,0.03741,39.413470000000004,30.74,16.98,6.07,4.44,3.25,0.975,4805,0.1059
110,Austria,1993,1366,0.016919999999999998,17.413610000000002,2467,0.03055,31.4432,61.12,44.33,10.99,4.65,1.16,6.683333,3833,0.04747
111,Portugal,1993,4240,0.041760000000000005,41.66337,4777,0.04705,46.93723,62.5,47.26,11.32,3.82,0.1,14.616667000000001,9017,0.08881
112,Denmark,1993,2118,0.03488,40.83598,3610,0.05946,69.60951999999999,75.5,59.63,9.11,6.62,0.14,7.683333,5728,0.09434000000000001
113,Switzerland,1993,2601,0.04245,37.09662,2576,0.04204,36.73839,50.85,41.99,6.11,2.61,0.13,5.358333,5177,0.08449000000000001
114,Germany,1993,19044,0.02179,23.44378,38450,0.04398,47.3317,1024.31,836.08,118.58,61.23,8.41,8.766667,57494,0.06577
