"","country","year","mean_year_tempeC","id","tot_gas","year_deaths"
"196","Czech Republic",1991,7.64166666666667,"Czech Republic-1991",156.17,17747
"197","Czech Republic",1992,8.8,"Czech Republic-1992",151.72,17416
"198","Czech Republic",1993,7.98333333333333,"Czech Republic-1993",147,16688
"199","Denmark",1991,8.21666666666667,"Denmark-1991",79.13,4375
"200","Denmark",1992,9.025,"Denmark-1992",72.94,4644
"201","Denmark",1993,7.68333333333333,"Denmark-1993",75.5,5157
"202","Dominica",1991,22.2833333333333,"Dominica-1991",0.24,54
"203","Dominica",1992,22.1583333333333,"Dominica-1992",0.26,73
"204","Dominica",1993,22.45,"Dominica-1993",0.26,84
"205","Dominica",1994,22.2166666666667,"Dominica-1994",0.26,69
"206","Dominica",1995,22.425,"Dominica-1995",0.27,79
"207","Dominica",1996,22.15,"Dominica-1996",0.24,90
"208","Dominica",1997,22.2916666666667,"Dominica-1997",0.25,61
"209","Dominica",1998,22.775,"Dominica-1998",0.25,75
"210","Dominica",1999,22.3083333333333,"Dominica-1999",0.25,97
"211","Dominica",2000,22.1333333333333,"Dominica-2000",0.26,68
"212","Dominican Republic",1991,24.0666666666667,"Dominican Republic-1991",9.8,4005
"213","Dominican Republic",1992,24.1833333333333,"Dominican Republic-1992",11.31,3822
"214","Dominican Republic",1994,24.375,"Dominican Republic-1994",13.84,3724
"215","Dominican Republic",1995,24.3,"Dominican Republic-1995",14.35,4173
"216","Ecuador",1991,21.6583333333333,"Ecuador-1991",71.25,14396
"217","Ecuador",1992,21.825,"Ecuador-1992",73.51,14056
"218","Ecuador",1993,21.6333333333333,"Ecuador-1993",73.27,14027
"219","Ecuador",1994,21.4833333333333,"Ecuador-1994",74.88,12522
"220","Ecuador",1995,21.7666666666667,"Ecuador-1995",78,13503
"221","Ecuador",1996,21.1333333333333,"Ecuador-1996",81.38,12569
"222","Egypt",1991,22.4,"Egypt-1991",135.07,115324
"223","Egypt",1992,21.775,"Egypt-1992",140.18,108060
"224","El Salvador",1991,25.0916666666667,"El Salvador-1991",9.1,3805
"225","El Salvador",1992,25.025,"El Salvador-1992",9.51,3676
"226","El Salvador",1993,24.9416666666667,"El Salvador-1993",10.05,4140
"227","El Salvador",1995,25.1083333333333,"El Salvador-1995",10.98,4573
"228","El Salvador",1996,24.6666666666667,"El Salvador-1996",10.89,4822
"229","Estonia",1991,6.2,"Estonia-1991",33.58,517
"230","Estonia",1992,6.43333333333333,"Estonia-1992",25.79,528
"231","Estonia",1993,5.29166666666667,"Estonia-1993",19.99,610
"232","Estonia",1994,5.40833333333333,"Estonia-1994",19.11,2483
"233","Estonia",1995,6.16666666666667,"Estonia-1995",17.42,2435
"234","Estonia",1996,4.85,"Estonia-1996",18.3,2267
"235","Fiji",1999,24.225,"Fiji-1999",-0.5,749
"236","Finland",1991,2.18333333333333,"Finland-1991",38.18,9210
"237","Finland",1992,2.59166666666667,"Finland-1992",35.07,9764
"238","Finland",1993,1.65,"Finland-1993",36.31,11047
"239","Finland",1994,1.60833333333333,"Finland-1994",42.92,9557
"240","Finland",1995,2.21666666666667,"Finland-1995",38.94,9881
"241","France",1991,10.7833333333333,"France-1991",502.72,116530
"242","France",1992,11.1333333333333,"France-1992",487.97,120256
"243","France",1993,10.8,"France-1993",469.18,127352
"244","France",1994,12.0166666666667,"France-1994",463.44,119157
"245","France",1995,11.6166666666667,"France-1995",472.18,126030
"246","France",1996,10.6083333333333,"France-1996",490.93,131991
"247","France",1997,11.875,"France-1997",480.98,133226
"248","France",1998,11.35,"France-1998",497.02,134160
"249","France",1999,11.725,"France-1999",486.59,134777
"250","Georgia",1991,7.15833333333333,"Georgia-1991",23.65,1666
"251","Georgia",1992,5.49166666666667,"Georgia-1992",15.56,1628
"252","Georgia",1994,6.96666666666667,"Georgia-1994",1.96,1292
"253","Georgia",1995,7.55833333333333,"Georgia-1995",-1.49,1098
"254","Georgia",1996,7.46666666666667,"Georgia-1996",-3.12,1158
"255","Georgia",1997,6.95,"Georgia-1997",-3.83,1167
"256","Germany",1991,8.73333333333333,"Germany-1991",1079.69,151349
"257","Germany",1992,9.70833333333333,"Germany-1992",1032.01,144607
"258","Germany",1993,8.76666666666667,"Germany-1993",1024.31,150233
"259","Germany",1994,9.925,"Germany-1994",1011.41,149835
"260","Germany",1995,9.175,"Germany-1995",1004.79,153077
"261","Germany",1996,7.60833333333333,"Germany-1996",1032.92,152241
"262","Germany",1997,9.225,"Germany-1997",994.92,145596
"263","Greece",1991,12.975,"Greece-1991",94.55,20471
"264","Greece",1992,13.2666666666667,"Greece-1992",96.63,22690
"265","Greece",1993,13.4416666666667,"Greece-1993",97,21997
"266","Greece",1994,14.4083333333333,"Greece-1994",99.62,21689
"267","Greece",1995,13.625,"Greece-1995",104.03,22786
"268","Greece",1996,13.3,"Greece-1996",105.1,22967
"269","Greece",1997,13.3166666666667,"Greece-1997",106.21,22474
"270","Greece",1998,14.1166666666667,"Greece-1998",110.45,25644
"271","Greece",1999,14.6333333333333,"Greece-1999",111.37,26486
"272","Greece",2000,14.3833333333333,"Greece-2000",117.05,27651
"273","Greece",2001,14.55,"Greece-2001",117.43,25312
"274","Greece",2002,14.2916666666667,"Greece-2002",117.81,26670
"275","Greece",2003,14.05,"Greece-2003",121.13,27220
"276","Greece",2004,14.0333333333333,"Greece-2004",120.74,27954
"277","Greece",2005,13.7,"Greece-2005",122.83,29308
"278","Greece",2006,13.7416666666667,"Greece-2006",121.21,28991
"279","Greece",2007,14.5,"Greece-2007",124.62,32937
"280","Greece",2008,14.525,"Greece-2008",120.71,32524
"281","Greece",2009,14.45,"Greece-2009",113.81,33926
"282","Greece",2010,14.95,"Greece-2010",107.1,34533
"283","Greece",2011,13.8333333333333,"Greece-2011",107.17,36266
"284","Greece",2012,14.6583333333333,"Greece-2012",102.01,38798
"285","Greece",2013,14.7416666666667,"Greece-2013",94.37,36199
"286","Grenada",1991,27.0083333333333,"Grenada-1991",1.86,120
"287","Grenada",1992,26.825,"Grenada-1992",1.92,131
"288","Grenada",1993,27.1083333333333,"Grenada-1993",1.91,187
"289","Grenada",1994,26.7583333333333,"Grenada-1994",1.93,133
"290","Grenada",1995,27.125,"Grenada-1995",1.96,140
"291","Grenada",1996,26.9,"Grenada-1996",1.99,81
"292","Guatemala",1991,23.425,"Guatemala-1991",29.24,26087
"293","Guatemala",1992,23.25,"Guatemala-1992",30.51,28197
"294","Guatemala",1993,23.175,"Guatemala-1993",31.27,29634
"295","Guatemala",1994,23.5,"Guatemala-1994",31.59,28877
"296","Guatemala",1995,23.5083333333333,"Guatemala-1995",32.69,25056
"297","Guatemala",1996,23.125,"Guatemala-1996",33.19,23102
"298","Guatemala",1997,23.6166666666667,"Guatemala-1997",33.65,26889
"299","Guatemala",1998,23.8583333333333,"Guatemala-1998",37.53,27974
"300","Guatemala",1999,23.0583333333333,"Guatemala-1999",36.22,26507
"301","Guatemala",2000,23.2833333333333,"Guatemala-2000",38.72,27295
"302","Guatemala",2001,23.6,"Guatemala-2001",35.42,27384
"303","Guatemala",2002,23.75,"Guatemala-2002",36.43,25507
"304","Guatemala",2003,23.85,"Guatemala-2003",38.12,25346
"305","Guatemala",2004,23.7916666666667,"Guatemala-2004",37.1,25361
"306","Guyana",1991,25.725,"Guyana-1991",9.81,798
